Date,AAPL,AMZN,GOOGL,META,MSFT
2020-01-02,72.79601287841797,94.90049743652344,68.26496124267578,209.1502685546875,153.63072204589844
2020-01-03,72.0882797241211,93.74849700927734,67.90785217285156,208.04360961914062,151.7177276611328
2020-01-06,72.66271209716797,95.14399719238281,69.71786499023438,211.96182250976562,152.10989379882812
2020-01-07,72.32098388671875,95.34300231933594,69.58320617675781,212.42042541503906,150.7229766845703
2020-01-08,73.48435974121094,94.59850311279297,70.07847595214844,214.57395935058594,153.12374877929688
2020-01-09,75.04521179199219,95.05249786376953,70.81414794921875,217.64471435546875,155.03671264648438
2020-01-10,75.2148666381836,94.15799713134766,71.27152252197266,217.40541076660156,154.3193359375
2020-01-13,76.82179260253906,94.56500244140625,71.82366180419922,221.24386596679688,156.17494201660156
2020-01-14,75.78443908691406,93.47200012207031,71.35282135009766,218.40240478515625,155.07501220703125
2020-01-15,75.45968627929688,93.10099792480469,71.78225708007812,220.48614501953125,156.07928466796875
2020-01-16,76.4049301147461,93.89700317382812,72.32891082763672,221.10427856445312,158.9391632080078
2020-01-17,77.25080108642578,93.23600006103516,73.79327392578125,221.47315979003906,159.82875061035156
2020-01-21,76.72726440429688,94.5999984741211,73.929443359375,220.77528381347656,159.25482177734375
2020-01-22,77.00114440917969,94.37300109863281,74.01023864746094,220.6556396484375,158.48965454101562
2020-01-23,77.37197875976562,94.22899627685547,74.05113220214844,219.10031127929688,159.46524047851562
2020-01-24,77.14899444580078,93.08200073242188,73.12742614746094,217.28578186035156,157.85833740234375
2020-01-27,74.88041687011719,91.41699981689453,71.40968322753906,214.22499084472656,155.21844482421875
2020-01-28,76.99873352050781,92.6624984741211,72.34586334228516,217.13623046875,158.26010131835938
2020-01-29,78.6104736328125,92.9000015258789,72.65509033203125,222.5598907470703,160.7278289794922
2020-01-30,78.49657440185547,93.53399658203125,72.53289794921875,208.90101623535156,165.26158142089844
2020-01-31,75.0161361694336,100.43599700927734,71.46205139160156,201.30389404296875,162.822509765625
2020-02-03,74.81011962890625,100.20999908447266,73.94689178466797,203.57705688476562,166.7919464111328
2020-02-04,77.2798843383789,102.4834976196289,72.09198760986328,209.20013427734375,172.28216552734375
2020-02-05,77.91004943847656,101.99349975585938,72.1239013671875,209.4792938232422,172.07176208496094
2020-02-06,78.82134246826172,102.5114974975586,73.61621856689453,210.21705627441406,175.6394500732422
2020-02-07,77.74996948242188,103.96399688720703,73.77281951904297,211.69261169433594,175.88812255859375
2020-02-10,78.11924743652344,106.69550323486328,75.2466812133789,212.42042541503906,180.48880004882812
2020-02-11,77.64791870117188,107.54000091552734,75.31649780273438,206.5680389404297,176.41419982910156
2020-02-12,79.49188232421875,108.0,75.74394989013672,210.1273193359375,176.67242431640625
2020-02-13,78.92582702636719,107.49349975585938,75.48259735107422,212.50018310546875,175.71592712402344
2020-02-14,78.94525909423828,106.74349975585938,75.74893188476562,213.5370635986328,177.2845916748047
2020-02-18,77.49972534179688,107.78350067138672,75.78434753417969,217.1461944580078,179.08274841308594
2020-02-19,78.62212371826172,108.51100158691406,76.05517578125,216.83712768554688,179.619873046875
2020-02-20,77.81554412841797,107.65499877929688,75.66214752197266,213.9358673095703,176.87684631347656
2020-02-21,76.05419921875,104.79850006103516,73.98978424072266,209.549072265625,171.2853240966797
2020-02-24,72.44158935546875,100.4645004272461,70.81764221191406,200.1174774169922,163.90025329589844
2020-02-25,69.98784637451172,98.63700103759766,69.14479064941406,196.17933654785156,161.19561767578125
2020-02-26,71.09809875488281,98.97949981689453,69.35176849365234,196.6080322265625,163.20974731445312
2020-02-27,66.45054626464844,94.21499633789062,65.58509826660156,189.18040466308594,151.71009826660156
2020-02-28,66.41167449951172,94.1875,66.79710388183594,191.89224243164062,155.3834686279297
2020-03-02,72.59465026855469,97.69750213623047,69.14479064941406,195.85031127929688,165.72254943847656
2020-03-03,70.28910827636719,95.44950103759766,66.72078704833984,185.3319854736328,157.7812042236328
2020-03-04,73.5494155883789,98.79149627685547,68.90937042236328,191.18435668945312,163.57418823242188
2020-03-05,71.1636962890625,96.20149993896484,65.57562255859375,184.61415100097656,159.46922302246094
2020-03-06,70.21864318847656,95.05449676513672,64.6269760131836,180.54638671875,154.96144104003906
2020-03-09,64.66490173339844,90.03050231933594,60.639347076416016,168.99119567871094,144.45932006835938
2020-03-10,69.32217407226562,94.59100341796875,63.60101318359375,177.6551055908203,154.33802795410156
2020-03-11,66.91455078125,91.04299926757812,60.39544677734375,169.7289581298828,147.34620666503906
2020-03-12,60.30644989013672,83.83049774169922,55.44021987915039,154.00628662109375,133.3721923828125
2020-03-13,67.53165435791016,89.25,60.56353759765625,169.7688446044922,152.33352661132812
2020-03-16,58.84392166137695,84.4574966430664,53.51748275756836,145.5717010498047,129.8810272216797
2020-03-17,61.43128204345703,90.39199829101562,55.76491928100586,148.97145080566406,140.57501220703125
2020-03-18,59.92744445800781,91.5,54.424739837646484,146.51885986328125,134.65736389160156
2020-03-19,59.46827697753906,94.04650115966797,55.446205139160156,152.6703338623047,136.8728790283203
2020-03-20,55.692909240722656,92.30449676513672,53.2785758972168,149.28053283691406,131.73207092285156
2020-03-23,54.5097541809082,95.1415023803711,52.57631301879883,147.6554412841797,130.41815185546875
2020-03-24,59.97847366333008,97.00499725341797,56.360939025878906,160.49676513671875,142.27256774902344
2020-03-25,59.648067474365234,94.29199981689453,54.9449462890625,155.74110412597656,140.91065979003906
2020-03-26,62.78691864013672,97.77449798583984,58.002376556396484,162.8496856689453,149.72479248046875
2020-03-27,60.18739700317383,95.00499725341797,55.37588119506836,156.3193359375,143.57691955566406
2020-03-30,61.905025482177734,98.19750213623047,57.173927307128906,165.45184326171875,153.67626953125
2020-03-31,61.77870178222656,97.48600006103516,57.95399475097656,166.29930114746094,151.2593536376953
2020-04-01,58.52808380126953,95.38500213623047,54.96888732910156,159.12091064453125,145.8883819580078
2020-04-02,59.50471878051758,95.94149780273438,55.71354675292969,157.71514892578125,148.90956115722656
2020-04-03,58.64956283569336,95.32949829101562,54.50004577636719,153.71717834472656,147.53805541992188
2020-04-06,63.76597595214844,99.87950134277344,59.01337432861328,165.0530548095703,158.51014709472656
2020-04-07,63.027442932128906,100.58000183105469,58.98194885253906,168.3231964111328,156.80296325683594
2020-04-08,64.64060974121094,102.1500015258789,60.200931549072266,173.7568359375,158.37582397460938
2020-04-09,65.1070556640625,102.13800048828125,60.179481506347656,174.6641082763672,158.38540649414062
2020-04-13,66.38494873046875,108.44349670410156,60.37101364135742,174.2653045654297,158.74029541015625
2020-04-14,69.73760223388672,114.16600036621094,63.10524368286133,177.63516235351562,166.59535217285156
2020-04-15,69.10108947753906,115.38400268554688,62.709720611572266,176.43875122070312,164.84976196289062
2020-04-16,69.65015411376953,120.40950012207031,62.71620178222656,175.72093200683594,169.7987060546875
2020-04-17,68.705078125,118.75,63.79203796386719,178.7019500732422,171.294921875
2020-04-20,67.27899932861328,119.68049621582031,62.90174102783203,177.7049560546875,167.89971923828125
2020-04-21,65.19937896728516,116.40599822998047,60.45829391479492,170.28729248046875,160.95582580566406
2020-04-22,67.07733154296875,118.17449951171875,62.76508331298828,181.7328338623047,166.42269897460938
